subject,strategy,choice_strategy,comments
p770313,n/a,made sure it didn't mean other things and made sur eI had it right for what I thought it meant,n/a
p681703,I tried to pick out things that were similar.,"I chose a picture that was related, but not exactly the same to try and determine the meaning of the word.",None
p15336,I just went off what images matched the examples. ,I went off what matched closely with those 3 objects. ,Great experiment!
p673810,Just common sense,Those of a similar category,No problems with the survey.  Well done
p555957,I picked something similar to see if it fit,"I picked one that was similar but if I could go back, I would pick something that was less related",No
p271126,Yes I simply looked at the similarities of the pictures. ,Based on the picture and the differences and similarities of the pictures. ,
p708584,"Nothing in particular, it seemed quite obvious.","I chose the object that seemed borderline, similar but maybe a different name.",
p91592,na,curiosity,
p350666,Just paid attention to the prompts and went with what made sense.,To reaffirm the trend.,
p298644,no,i chose an object that was different from the first 3,no
p686953,I used context clues.,I analyzed the category the first three were in.,
p634007,I simply looked for commonalities across the objects.,"No real plan, I just wanted to confirm my initial assertion what the word meant.",
p62679,"For the first two I just chose whichever looked similar, and used the 4th object to try and confirm my guess.","I initially chose whichever was similar, but then I realized I should be looking for differences, so instead I chose an image that I thought could be in the same category, with only one difference. ",
p765271,no,i put it in categories that had the best fit,
p973434,I tried to pick something similar but not exactly the same as the example.,I chose the object that was similar but different.,None.
p462428,Common Sense,Picked same kind,dog - dalmation. I was more specific.
p225917,I just went with my instincts. ,I just went with my gut feeling. ,Cool study!
p877133,just tried to use basic logic,something similar looking,Good luck!
p895284,no I thought it was obvious.,I picked something similar or sometimes different.,
p798696,I tried to click something similar to see if it was the same word,I chose a similar category,no
p287261,"For the first one, I thought that I made it too complex and I think it was just a vegetable.  I picked a similar object to see if it was called the same thing.",I picked a similar object like the school bus or the dog.,no - thanks!
p55665,Not really. Just categorization. ,"Well sometimes two pictures would appear to be the correct choice and I could only choose one. Then I had to use guesswork - for example, I think the word was sibu, it meant dog. But there were two dogs in the options. So I chose the dog breed that was given as one of the examples.",
p75502,no,unsure,
p118560,No. They were so easy no strategy was needed.,I wanted to confirm my intuition.,No
p416673,No.,I chose the object most similar to the three examples,
p795388,no,i picked a similar object,no comment
p200804,no,ones whch were close,
p527634,No.,I tried to pick an object which would be likely to increase the probability that I would be able to understand the meaning of the initial new word.,No.
p285841,No.,N/A,
p535414,I just followed the pictures,I picked something I thought would fit to test my theory,
p979588,I thought of what the word means.,"I wasn't sure at first and chose something that was different. If I could do it again, I'd choose the photo that matches the word.",
p815089,"No, I just memorized the words.",I just used logic based on what was seen and selected what was similar.,
p651366,I did not.,Most similar looking.,
p83469,no,Something similar to the word,
p96874,"I usually selected images that most resembled the examples I was shown earlier. If it was unclear what each word meant, I would occasionally select images that could fall into the same category of the word (e.g.: beppo could either be specific and refer only to Dalmations, or it could be broad and refer to all breeds of dogs).","For the fourth object, I always selected an image that closely matched the first three examples that were shown.",
p171084,No Just review the pictures,The first three were the same I picked something similar to confirm if it was the same.  ,Thank you and good luck with your work
p455268,I just looked at the words and the examples,I knew what the word meant.,
p249893,Nothing,sibu,Good
p768479,no.,"I picked a similar, but not identical, object so that I could figure out if the object was a more general term or more specific.",no
p341061,no,Gut instinct,no
p516668,memorize the word,excited,good
p744798,If the word was similar to an existing word for the object.,After the word that appeared to be vehicles I clicked on the train to see if was in the category because they were very different types of vehicles.,
p391282,no,to confirm what I thought,no
p373631,I tried to figure out if words were specific or groupings,My goal in choosing the fourth word was to try and narrow down what the meaning could be.,
p138450,memorise the word,similar to the picture,
p600409,"Just used my memory, I suppose. I tried to a variety of objects to see any discrepancies.","I looked for a different object at first, but then decided to go with an object similar but different to see how broad the definition of the word fit.",
p802986,"I tried to select things that I thought could indicate a broader version of the category, like selecting horse when the word was dog to make sure it wasn't animal more broadly.",I selected the option that could reveal a broader category.,
p41909,By the category they mostly relate to,A slightly varying one of the same category,No
p46388,By looking the similarities of the objects.,The fourth object had to be of the same catagory with the other three examples,No comment
p180698,Just common sense,"On the first I wanted to learn a new one, on the others I wanted to just keep it as the same as the objects to confirm the word.",
p889922,NO,BY READING INSTRUCTIONS CAREFULLY,NO
p730635,No,"I picked random objects, I had no set formula.",None
p474744,No,kitta,good survey
p949214,look at commonality,something that may or may not match the definition,
p778684,I did not use any strategies to figure out what each word mean.,I chose something that was similar to the example but not the same to see if there is any relationships between the words.,I have no additional comments.
p869379,chose what category the objects were from,I chose to confirm meaning,no
p702253,"I simply attempted to select a picture that was close, but not exact to the previous examples in order to rule possibilities out.","I chose whichever one was close, but not exact, to see if it still fit.",This was very enjoyable.
p262183,NONE,RANDOM,
p361860,nothing beyond the obvious,I tried to pick an object that might stretch the boundaries of the definition (like dog to animal),
p216496,"I tried to select the picture that was similar but different in the way it looked to see if the word was specific to a certain look, for example breed of dog, or for the entire category.",I chose to select a similar looking object that would give me more information if the word was broad or specific.,Unique and fun study.
p215913,No,I chose something similar,
p373171,no,an object that was in the same category,no
p626566,no,tibu,good
p680615,I just paid attention and compared similarities,"I chose something similar to see if it had the same meaning besides the first time, I wanted to see the difference in completely different objects.",
p159412,No,Guessed,No
p498346,Not really,I made a guess,no
p585896,"No, I did not have a strategy. I only picked by similarity.","I looked for similarities in the objects, such as shape, color, purpose, etc.",
p938665,I did not have a particular strategy.,I tried not to pick an object that would be redundant when considering the three I had already seen,
p838973,no,Just what interested me.,
p631926,I simply tried to figure out things that the images had in common.,I figured out things they had in common.,
p161704,Just observed what was the same in the options.,Something similar to see if it had the same name.,No but thank you.
p298094,I looked for links to the English word sibu-bus. kita-kitten kitten is a pet. Beppo-pepper.  ,I wanted to see something that might be similar to the given word.,Thank you.
p982143,I tried to see if other things that were similar but not exactly te same were named the same,if it matched,n/a
p232943,not really,I chose based on the similarity,none
p906882,No I just used common sense.,I wanted to make sure similar things were not the same name.,
p9547,"Not really. I looked for commonality among the examples given for the word. Then, if there was any uncertainty about whether additional, similar objects might also be represented by that word, I chose another object that was perhaps slightly different than the examples but within the same proposed ""class.""","If I was already pretty confident of the meaning of the word, I chose an object I was sure was likely in that class of objects to confirm. Otherwise, I chose an object on the ""edge"" of the class to see whether there was any difference. For example, one word had three school buses as examples. I wasn't sure if the word was only for school buses or any bus in general. When given the choice of other objects, I therefore picked a non-school bus to resolve this quandary.",
p563199,I simply looked at the pictures and found the common thing that have with one another.,I chose based on what may be different than the examples presented.,"Great Study, hope to do more in the future."
p56107,No,The one that looked the closest to the objest or was some how similar to it. Such as there were 3 animals that could be pets so the fourth object must be a pet too ,
p802929,Mostly just trying to memorize the word and then picking the same type,I tried to pick something different from the ones described by the word I already learned,
p609362,I looked for the commonality of the training objects to remember the word association and meaning.,It was non-animal and non-vegetable so I chose it.,I enjoyed this experience!
p934992,"There wasn't  much of a strategy, usually the word's meaning was pretty easy to narrow down from the first example objects.",I tried to choose something that would narrow down whether the word had a more broad or limited definition.,
p632294,I just used my judgement based on if each picture was in a category (like with the vehicles) or something very specific (like the Dalmatians).,I chose one that I felt fit into the category or subject.,
p443633,Well yes I picked something that seemed similar but different enough to know how specific the word was.,Again I chose something similar to the examples but not the same.,It was kind of fun.
p572701,n/a,i generally chose something different out of curiousity,
p221482,Not really.,"With the word ""kita"", I chose a non-Dalmatian dog to see if the word meant ""dog"" or ""Dalmatian"".",
p3402,I picked an opposite item at first to see if the name was different than the three presented,see above,none
p87194,None,Pick a similar item,
p42294,No,Looked for that object,
p44279,no,I chose one that I thought would fit but later on I wished I had chosen something similar that may or may not fit,
p869780,"I wasn't sure if kita meant all animals including birds or not.  But, I didn't use a strategy.",I wanted to learn what the new words were for various animals.  That's why I always chose a type of animal for my fourth word.,
p897932,"I tried to select the object that most resembled the other three objects without being exactly like the others. For instance, I didn't select the green pepper but did choose the yellow pepper. ",I chose the object that resembled the other three without being exact. I didn't choose the bus or the pepper or any of the dogs. I instead chose what I thought was the closest match without being something I already knew.,I thought this was interesting but I would have liked some real-time feedback.
p248204,"Not really, just went with what naturally made sense",Whatever looked closest,
p531668,I just looked and tried to match the pictures with the words.,I picked the closet picture to what I thought the word meant.,n/a
p964318,I categorized them,Something that was similar to make sure it's the same,No
p741402,Yes I tried to group the word I was learning together by attributes and colors,I selected the object that looked the most like the three examples.,
p708177,Picked an object that was similar.,Looked for something similar to see if it corresponded.,
p439692,I thought about what the images had in common and went from there.,I picked something similar but not identical to make sure I was understanding correctly.,None
p641124,no,interest,
p772968,no,"i was looking for that same object, or similar",no
p871779,no,n.a,
p991847,I chose things that were somewhat similar to the original pictures to see if the category was more specific or wide.  Then I chose the pictures that were most similar to the original pictures.,I chose the fourth object that was most similar to the examples.,
p679827,no,i choose the object that looked like what was among the 3 examples ,
p965891,No,Look alike,No
p207057,nope,i just chose the relevant image,
p708412,As per the instructions I made this kind of deisions.,As per the instructions,good survey
p291406,I just compared the similarities of the example items.,I just picked he fourth object that was different yet fit with the other three.,
p812763,I just clicked on a picture that was different to see if they had a different name.,I clicked on a picture that was different to get an idea of what the others category was.,"none to add, thanks"
p793775,no,I picked an image that I thought would be the same word.,
p144985,no,By selecting a object that doesn't appear to be related or share characteristic.,
p153940,I just looked at the pictures of the items and saw what they all had in common.,I picked something that was the complete opposite as the first three so that it would not be similar and cause confusion.,
p158352,none,none,
p527327,I paired them up yes. ,A mistake was made on the first one butI went with the basic form for the rest of them. ,The train selection was an accident on the first page 
p238583,nope,kita,good
p34151,"Mostly, looked at the similarities between the images being shown.",I chose the 4th one that looked like the ones before the one shown to me.,No
p776550,I grouped the pictures into categories,the one that looked most like the first three,none
p500601,Nothing in particular,I chose an item that was similar but sill slightly different,None
p729974,I just thought about what the word must mean based on intersections of all three example pictures. What did they all have in common.,I chose the one that I thought belonged with the first three examples.,
p218152,no,no,
