subject,strategy,choice_strategy,comments
p536263,I don't know exactly.,I chose one that might or might not be in this word category. I didn't choose any that definitely were not in the word category. Sometimes there was only one that fit.,"Fun, like a game!"
p282189,Nothing specifically.,Things that shared similar traits.,
p114578,No strategy for me,I picked the one that seemed like the examples,None
p635820,Mostly trying to confirm if the word applies to to a singular category.,I tried to choose something that could be related in order to determine if there was a specific category.,I mispelled beppo.
p652374,not really,I chose whatever one I thought would be associated with that word to confirm.,none
p630967,Not really. ,I wanted something different to see if it could possible fit in the category as well.,thanks
p753363,Just go with instruction.,No,
p913294,I tried to find common features all of the example pictures contained.  I then picked the pictures that had those same features.,I picked the one most similar to the group.,
p216310,"No, I just used my instinct.","I chose an image similar, but different in some way, to make sure.",No.
p313421,I looked at the pictures and compared them to each other.,I compared the first 3 images with the 4th image.,"I enjoyed this study, thanks!"
p580147,I just tried to base it on similarities between objects.,I tried to choose an object that was different than the one I learned about,
p308156,no it was literally elementary school child level of intuition required,because it was really easy,
p507052,none,Related to the matching picture,good
p711050,I just followed the instructions and made an educated guess. It was a very straightforward experiment.,I wanted to see if the word was specific or general. ,no
p57895,no,same object fount in the fourth one,none
p183084,No,I checked the correlation of objects,
p666567,I could tell from the examples,same image,no
p659185,"I tried to pick something that was close to the pictures, but not quite, to see if the word extended to something less specific.",I wanted to see if it was a more general or specific word.,
p90117,it was easy to figure out what they really mean,I just thought it would be a similar object,none
p23479,nope,before see the object then choose next,nope
p593298,Identification technique,Same identification and representation,
p473892,I tried to push the limit by looking at a closely related word to see if it covered the meaning of the word. ,"I picked a closely related item, like a coach instead of a school bus to see if the word covered all busses",
p78310,NOPE,BEFORE SEE THE THREE OBJECTS TO CHOOSE NEXT OBJECT,INTERESTING
p134301,"When I was able to choose which object I would like to learn the meaning of, I started to select objects that we similar but could conceivably have a different word. I didn't do that the first time, though.","Oh, I just explained that. Similar object that could conceivably have a different word.",
p943948,I did not develop any kind of strategy ,I wanted to make sure the word meant something in general instead of a specific thing,
p96416,NO,NO,
p910597,no,based on the shape,
p905077,None,None,None
p193762,No,By seeing its similar objects,Interesting
p319241,"At first, I just tried to confirm the name of the group, but on the last trial I tried to choose something similar but not quite the same as the given grouping to expand the definition.",Same explanation as above.,None.
p199918,N/A,I choose randomly,N/A
p575642,Nothing,Good,Nice
p449048,N/A,I chose the object which most closely resembled the example images I was shown.,N/A
p897217,no,what made sense,
p194699,categorization,similar image,none
p60743,nothing,I just feel that,
p53756,no,chose the one of a kind,
p42893,Just look for similarities. ,Something to confirm my understanding of what the word would describe.,
p45411,Memory the images carefully.,New object,None
p959183,I used the pictures provided and then translated into English.,I randomly chose something different,Thank you
p145246,Nothing in particular.,Usually just selected something similar. ,
p742290,I didn't really have a strategy. I just used standard reasoning to determine what the word would mean based on looking at the photos with that word.,I just tried to decide which object was most similar to the three photos shown to me.,thank you!!
p541654,I did not use a strategy. I just tried to reason and come up with what logically the word meant,I tried to choose a word that would help me decide what the word means. So I wanted to pick something that looked different,no comments thank you
p563154,Find the word meaning,Guess,
p306510,Just observation,tried to find something that I thought didn't match,
p768639,To learn new language,Depends upon the picture,excellent study
p483454,Compare the objects and find what is the same between the images.,Choose something similar but not the same to see if the word has a broader meaning than I think.,
p651389,I tried to determine the common element among the images to determine the word meaning. ,"After the first trial, I realized that there might be some more differentiation between word meanings. So, I tried to choose images that would help me determine if a distinction existed. For example, I was initially uncertain whether sibu meant ""pepper"" or ""jalapeno pepper"" so I tried to choose a different kind of pepper to see if it was also a sibu. ",This was a fun study. Thanks for the opportunity to participate. 
p158492,I simply tried to match each word according to the theme that I noticed with each picture.,I chose an object that matched the previous three pictures that were shown.,none
p186860,OF THE CATEGORIES WERE DIFFERENT ,BELONGING THE SAME TYPE OF OBJECT OR ANIMAL,GOOD
p17229,"no, observation",I played it lazy and picked the similar one,I should have gone off script and selected other choices
p250801,By observing the collective objects that bear the name.,A different object from the three.,
p210585,No,I did best of my knowledge.,Good
p423258,"Yes, I looked for a common theme among the pictures.",I tested something close that might be a different word or might be the same word.,No
p630904,No,I chose it at first based on what I wanted to know and then based on what was closest to the objects already shown to me.,no
p648834,I picked what I thought could be the word to make sure if I was wrong or right.,I wanted to see if the similarities meant that they belong to the same word.,
p70394,no,I chose the same thing as shown in the examples.,no
p525628,No not really just common sense ,I choose the first imagine I saw that looked identical to previous objects,
p958965,None really. I just associated the word with the image to categorize it.,I would choose a word to see what is different usually.,
p612052,"no strategy, it was obvious to me",curiosity of something different,
p522461,"No, could just tell by the pictures.  It was pretty obvious.",I matched what I saw in the 3 examples.,
p745722,nothing,kita   beppo  ,well
p517874,I just paid attention to the pictures and tried to think logically,I picked something very different from the word I just learned.,
p924009,"I picked an object that resembled the ones presented but wasn't 100% a match. For instance, there were three Dalmatians and I picked another breed of dog. I did this because I wanted to know if the word meant dog in general, or just that breed of dog.","I picked an object in the same field as the objects presented, but slightly different. So, for example, I would pick a boat after being presented with three wheeled object. This narrows it down to being about transportation vehicles in general or just specific ones.",This was very well-designed.
p280054,No,I tried to select the related item,Thanks for the opportunity
p198283,I tried to figure out what they had in common. I then selected a picture that could fit the description to see if it had the same name,"I'd find something that COULD possibly be in the same category depending on the meaning of the word, so I'd see if it matched the word or not",no
p166326,"I just selected items from a group, suchs as vegetables or what not.","I clicked on an object I thought might be from the same group that I did not see an image for before, for conformation.",
p234288,no,an object that was the same as the examples,thank you
p910800,I just looked at what the 3 images had in common.,Clicked something that looked the same to verify.,I wish I clicked the yellow pepper!
p298867,"Not really, just trust my gut.",I try to choose a similar item to see if I can differentiate them.,
p94986,No,common sense,
p290599,No,See how it related to the other examples,
p122968,"No, I just used my memory",I don't understand this question. I just tried to follow the instructions on the screen.,no
p841045,"When I thought I had an idea of what it was, I tested it on the next page that showed different words that you can learn.",I chose an object that was similar.,No
p675043,No strategy,I picked the one that was most similar to try and figure out what the word meant.,
p127471,No strategy,I chose something that was related to the item but wasn't an exact match ,
p704834,Nothing,Peepo ,
p734685,NO,NO,
p474872,Just memorization,I just chose the object i was Interested in learning the new name of.,Thank You!
p454566,no,if it was from a similar group,
p842719,I did not use any strategy,Ides wise,n/a
p850108,memory recall,the one with the clearest resemblance with given examples,none
p708643,nothing, sibu  beppo kita,well
p735302,Animal and vegtable,beppo,None
p118377,Choose to see similar object/thing to confirm if word I thought of was correct,Based on type of examples shown like if it was an animal was common theme or all buses,none
p751807,not particularly,something new / different,
p980041,"I would click on an item that was somewhat related to make sure a broader category wasn;t included in with the word. From there, I would determine the meaning of the word.",I would choose an item closely related to the 3 images and make sure the word didn't encompass a larger category of items.,
p178785,Just my own knowledge,Different object,
p348653,No,"I always tried to select the object of the new word i am learning, to be sure if the object is really named the suggested word.",
p50778,I tried to make sense of the items that had the same name and find the main similarity between them.,I chose to see the most logical option to confirm my assumptions.,"Nothing additional, thanks!"
p43554,no,same object,Good
p863034,I didn't really have a strategy,I usually just picked a similar example to see if I was on the right track.,none
p362180,It was easy to see the comparisons. ,I chose what would fit into the group. ,Thanks 
p591868,"No strategy, just common sense.",I chose intuitively.,No additional comments.
p592210,"No, I just knew the words naturally.",I followed due instructions by learning the new words given and understanding its meaning. ,It was great.
p149741,Not necessarily,Just something I generally liked the look of,
p542097,None,another object,
p558362,I compared the images with the other images provided.,I chose the one that looked most like the examples.,Nice study.
p601641,Not really...I just picked the broadest group that all three pictures might belong in,"I picked something similar but nit exact - as in a different breed of dog, a different vehicle, another vegetable. ",
p765490,I thought about what all the things had in common when first learning the word and then choosing an image that looked like the originals or one similar.,"I usually chose an object that was similar but had one difference to see if there was a different word for it, like all the green peppers were given and I chose the yellow one to see if yellow peppers were included for the word or if color didn't matter.",No.
p246589,no,bus,good study
p501797,Just basic memorization and deduction,I followed the pattern,"The question below the ""pick the object"" was confusing...it asked me which of these would I like to learn the name of, not pick the correct one. "
p851779,"yes, I examined the pictures and identified features such as vehicle, animal, color, etc.",select an object with one similarity to the original to isolate the meaning of the new word,no
p42119,"In the first two I went by the given examples. But in the third, I picked a ""close but not quite"" example to narrow it down. I SHOULD have done that for all three.","Something close, but not exact.",
p128618,I just looked for the items that were the most similar\,it was fairly intutive I think so I went with the similarities and then choose,
p220604,I did not.,One that was opposite of the others,
p187026,no,I tried to pick an object a little different from the examples to test other possible meanins.,
p92051,ITIS VERY GOOD TO PARTICIPATE,IT IS VERY GOOD,
p585977,I did not follow any stretagy,"I chose the fourth object based on my understanding of the word, the context of the examples, and my knowledge of the objects. For instance, if the word was ""fluffy"" and the first three examples were a pillow, a cloud, and a teddy bear, I might choose a cat as the fourth object to see a word for next.",n/a
p942454,picture relations,choose the same ,
p450544,no,based on the previous 3 objects,
p782233,arranging words ,bus dog,no
p415104,no,from the example given,none
p501272,not exactly. i just remembered it,one which was close to the one showed,
p325855,no,i chose object that was similar,no
p349553,The examples really helped and I just tried to confirm what I thought,To click something similar but not exactly the same to find the word definition.,That was fun!  Thank you for letting me participate.
p545033,Just tried to see how broad the category the word presented was and if I could rule in or out anything further than what I was specifically shown.,Picked something that could be in a broader category of that object (e.g. picking a different animal when I was shown 3 dogs to see if the word meant dog or animal).,no
p213137,I looked for similarities.,I wanted something that was slightly different from the other 3.,
p945474,No strategy.,I wanted to choose an object that was totally different.,
p564386,Just trying to associate the alike objects with the word.,based on what was most similar to the other three,
p204347,Decided what all of the objects had in common and went from there on figuring out what the word may be.,I determined what objects may be related to the examples.,N/A.
p304827,I just tried to figure out if they were grouped into a category,if it was similar but different looking,
p329853,"No, I didn't.",Looking for similarities in the objects,
p278388,No,I discarded obvious examples and went for the next,No
p442267,think of the category and it was easy,if it was in a similair category ,
p642254,No,I looked for it to match the three previous examples,
p83397,no,i went with my gut.,no
p766944,NO,VERY EXSY MAKE DECISION,VERY EXCELLENT.
p84082,"I tried to figure out if the examples were misleadingly specific (e.g. dogs vs. mammals, chilis vs. vegetables) so for the freebie, I tried to pick something that would either prove or disprove my initial guess.",Same as above - tried to reduce ambiguity by picking a slightly different object than was in the examples.,
p606339,chose the same ones,Those that looked alike,
